,Date,Notice_title,Reference_no.,OCID,Published_by,Deadline_date,Notice_type,Url
102,18-08-2022,WLC 7 Local Bus Contracts - 12 months,AUG456715,ocds-r6ebe6-0000680382,West Lothian Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456715
103,18-08-2022,"CU/556/21 Render works Package at Muiredge Industrial Estate, Buckhaven, Leven",AUG456714,ocds-r6ebe6-0000703920,Fife Council,29-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456714
104,18-08-2022,University of Dundee Steam Boilers & HTHW Water Treatment,AUG456708,ocds-r6ebe6-0000690887,University of Dundee,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456708
105,18-08-2022,Fire Risk Assessments,AUG456707,ocds-r6ebe6-0000703913,Dumfries and Galloway Council,,01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456707
106,18-08-2022,AA-14-22-DA Blood Glucose Testing Fully Managed Service,AUG456703,ocds-r6ebe6-0000702874,NHS Ayrshire & Arran,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456703
107,18-08-2022,HEPA Air Purifier and Particle Sensor,AUG456702,ocds-r6ebe6-0000700751,University of St Andrews,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456702
108,18-08-2022,ABERDEENSHIRE SLURRY SEAL WORKS 2022-23,AUG456701,ocds-r6ebe6-0000699888,Aberdeenshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456701
109,18-08-2022,Heritage Repairs @ Culross Abbey Burial Grounds,AUG456699,ocds-r6ebe6-0000703908,Fife Council,02-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456699
110,18-08-2022,Provision of ServiceNow (SNOW Support),AUG456698,ocds-r6ebe6-0000703041,North Lanarkshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456698
111,18-08-2022,Evaluation of ENRA 2022-27 Research Programme Commissioning Process,AUG456694,ocds-r6ebe6-0000698345,Scottish Government,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456694
112,18-08-2022,PROVISION OF CLOSED CYCLE OPTICAL MICROSCOPY CRYOSTATS,AUG456691,ocds-r6ebe6-0000703779,University of Glasgow,20-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456691
113,18-08-2022,IRR Building Shelving System,AUG456690,ocds-r6ebe6-0000701465,University Of Edinburgh,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456690
114,18-08-2022,WLC Bathville Groundworks,AUG456688,ocds-r6ebe6-0000692483,West Lothian Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456688
115,18-08-2022,3D Polymer Printer,AUG456685,ocds-r6ebe6-0000703885,Dumfries and Galloway Council,,01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456685
116,18-08-2022,Award of IT Helpdesk and Support Role,AUG456683,ocds-r6ebe6-0000703544,Scottish Parliamentary Corporate Body,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456683
117,18-08-2022,Award of IT Helpdesk and Support Role,AUG456682,ocds-r6ebe6-0000703542,Scottish Parliamentary Corporate Body,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456682
118,18-08-2022,Award of IT Helpdesk and Support Role,AUG456681,ocds-r6ebe6-0000703537,Scottish Parliamentary Corporate Body,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456681
119,18-08-2022,WLC Inveralmond CHS Roofing Works Phase 3,AUG456678,ocds-r6ebe6-0000689678,West Lothian Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456678
120,18-08-2022,Award of a Contract for Rental of Office Equipment,AUG456677,ocds-r6ebe6-0000703831,Heriot-Watt University,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456677
121,18-08-2022,Maintenance of Medical Gas Piped Systems,AUG456672,ocds-r6ebe6-0000690978,NHS Grampian,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456672
122,18-08-2022,CE-80-21 - Residential Short Breaks and Out of School including School Holiday Activity Service for Children with Disabilities,AUG456666,ocds-r6ebe6-0000703870,South Ayrshire Council,28-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456666
123,18-08-2022,Implementation plan for the translation of a robotic research prototype to ISO13485 regulatory approved medical device status.,AUG456665,ocds-r6ebe6-0000703833,University Of Edinburgh,,15 Voluntary ex ante Transparency (VEAT) Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456665
124,18-08-2022,Construction and Trades Sub Contractor Framework,AUG456664,ocds-r6ebe6-0000659301,City Building (Glasgow) LLP,03-Oct-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456664
125,18-08-2022,Internet of Things Smoke Alarms and Intruder Detection (IDS),AUG456663,ocds-r6ebe6-0000702661,Highlands and Islands Airports Limited,,01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456663
126,18-08-2022,Provision of Autonomous Vehicle,AUG456656,ocds-r6ebe6-0000667488,Highlands and Islands Transport Partnership (HITRANS),,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456656
127,18-08-2022,Trend building energy management system (BEMS) Maintenance - Central Area,AUG456649,ocds-r6ebe6-0000703849,University Of Edinburgh,,01 Prior Information Notice (PIN),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456649
128,18-08-2022,CE-80-21 - Residential Short Breaks and Out of School including School Holiday Activity Service for Children with Disabilities,AUG456648,ocds-r6ebe6-0000703848,South Ayrshire Council,17-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456648
129,18-08-2022,Operator of Autonomous Vehicle,AUG456647,ocds-r6ebe6-0000682598,Highlands and Islands Transport Partnership (HITRANS),,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456647
130,18-08-2022,2584-S - Consultancy for AMIDS Marketing Plan,AUG456644,ocds-r6ebe6-0000703843,Centre for Process Innovation Limited,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456644
131,18-08-2022,Maintenance of Fire Fighting Equipment,AUG456643,ocds-r6ebe6-0000703258,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",,20 Modification Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456643
132,18-08-2022,"Award of PROC 22-1585 Estates Professional, Technical and Design Services to Support Housing Proj...",AUG456635,ocds-r6ebe6-0000691900,Scottish Police Authority,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456635
133,18-08-2022,Major Overhaul Holyrood Energy Centre CHP Engine,AUG456629,ocds-r6ebe6-0000703789,University Of Edinburgh,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456629
134,18-08-2022,Trend building energy management system (BEMS) Maintenance - Central Area,AUG456628,ocds-r6ebe6-0000703810,University Of Edinburgh,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456628
135,17-08-2022,"Supported School Transition Services, Largs Locality",AUG456606,ocds-r6ebe6-0000703709,North Ayrshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456606
136,17-08-2022,Replacement Door Entries – H1421,AUG456605,ocds-r6ebe6-0000699601,Aberdeen City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456605
137,17-08-2022,Formartine and Buchan Way Bridge Construction (22-23),AUG456601,ocds-r6ebe6-0000702387,Aberdeenshire Council,19-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456601
138,17-08-2022,Patient Advice and Support Service for NHS Scotland,AUG456600,ocds-r6ebe6-0000702805,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",,15 Voluntary ex ante Transparency (VEAT) Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456600
139,17-08-2022,Glasgow Tourism and Visitor Plan 2023 Refresh,AUG456596,ocds-r6ebe6-0000703754,Glasgow Life (Culture & Sport Glasgow),16-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456596
140,17-08-2022,Provision of Hotel Services at Ness Walk and Bryden Lodge,AUG456591,ocds-r6ebe6-0000703244,University of the Highlands and Islands,14-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456591
141,17-08-2022,Ground Investigation Works for the B714 Upgrade,AUG456589,ocds-r6ebe6-0000703103,North Ayrshire Council,16-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456589
142,17-08-2022,Supply of Retail Sporting Goods for Resale within Fife Sports and Leisure Trust,AUG456588,ocds-r6ebe6-0000703665,Fife Council,,01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456588
143,17-08-2022,M & E works Tulliallan Primary School PR5553657,AUG456587,ocds-r6ebe6-0000703762,Fife Council,30-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456587
144,17-08-2022,Festive Lighting,AUG456586,ocds-r6ebe6-0000688560,Renfrewshire Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456586
145,17-08-2022,"Analysis of consultation ‘Restricting promotions on food and drink high in fat, sugar or salt’",AUG456583,ocds-r6ebe6-0000703761,Scottish Government,07-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456583
146,17-08-2022,Kings Buildings CHP Panel,AUG456582,ocds-r6ebe6-0000701344,University Of Edinburgh,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456582
147,17-08-2022,Kitchen Upgrade Contract,AUG456580,ocds-r6ebe6-0000696719,Abertay Housing Association Ltd,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456580
148,17-08-2022,Award of Provision of Glass Recycling 2021 - HC/C&P/GR-CMGLACP/2021,AUG456578,ocds-r6ebe6-0000687544,The Highland Council,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456578
149,17-08-2022,Fabrication & Blacksmith Maintenance Framework,AUG456576,ocds-r6ebe6-0000703737,Aberdeenshire Council,26-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456576
150,17-08-2022,Maritime Museum Lift Replacement (8268),AUG456573,ocds-r6ebe6-0000703525,Aberdeen City Council,16-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456573
151,17-08-2022,18/0756 Supply and Installation of Timber Windows,AUG456572,ocds-r6ebe6-0000703732,Moray Council,,01 Prior Information Notice (PIN),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456572
152,17-08-2022,Award of EDC/2022/3480- Barrachan Cottages Site Feasibility Study,AUG456567,ocds-r6ebe6-0000699513,East Dunbartonshire Council,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456567
153,17-08-2022,PIN Talking Tenders - Fabrication & Blacksmith Waste Maintenance Framework,AUG456566,ocds-r6ebe6-0000703734,Aberdeenshire Council,,01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456566
154,17-08-2022,PMR – Conservation Treatment: Frames,AUG456561,ocds-r6ebe6-0000703208,Renfrewshire Council,07-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456561
155,17-08-2022,IP Dome and IP Low Light Cameras,AUG456555,ocds-r6ebe6-0000701426,Scottish Police Authority,19-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456555
156,17-08-2022,Electric Vehicle Charging Infrastructure,AUG456547,ocds-r6ebe6-0000650723,Scotland Excel,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456547
157,17-08-2022,Supply and Distribution of Frozen Foods,AUG456545,ocds-r6ebe6-0000703681,The City of Edinburgh Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456545
158,17-08-2022,Plumbing Consumables and Commercial Heating Products,AUG456542,ocds-r6ebe6-0000703533,APUC Limited,,20 Modification Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456542
159,17-08-2022,Plumbing Consumables and Commercial Heating Products,AUG456539,ocds-r6ebe6-0000703547,APUC Limited,,20 Modification Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456539
160,17-08-2022,Cleaning Equipment for FM,AUG456538,ocds-r6ebe6-0000702995,Stirling Council,30-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456538
161,17-08-2022,Award of Senior Content Designer,AUG456536,ocds-r6ebe6-0000702232,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456536
162,17-08-2022,Award of Commercial Manager,AUG456535,ocds-r6ebe6-0000700759,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456535
163,17-08-2022,Planned Preventative Maintenance of Air Conditioning,AUG456533,ocds-r6ebe6-0000703694,Dumfries and Galloway Council,16-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456533
164,17-08-2022,HEALTH AND SAFETY TRAINING SERVICES - University of Aberdeen,AUG456531,ocds-r6ebe6-0000692669,University of Aberdeen,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456531
165,17-08-2022,Content Management System - University of Aberdeen,AUG456527,ocds-r6ebe6-0000693393,University of Aberdeen,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456527
166,17-08-2022,Site Supervision Services for the design and construction works contract for CWRR Project,AUG456526,ocds-r6ebe6-0000641711,Renfrewshire Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456526
167,17-08-2022,Maintenance of Commercial and Domestic Fire Suppression Systems,AUG456525,ocds-r6ebe6-0000703609,South Lanarkshire Council,15-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456525
168,17-08-2022,Patient Transport Service,AUG456524,ocds-r6ebe6-0000688566,Scottish Ambulance Service,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456524
169,17-08-2022,Award of Project Support,AUG456523,ocds-r6ebe6-0000703555,Scottish Parliamentary Corporate Body,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456523
170,17-08-2022,Digital Identity Scotland External ID Vendor,AUG456522,ocds-r6ebe6-0000702965,Scottish Government,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456522
171,17-08-2022,Public Realm Works – High Street and Weighhouse Close,AUG456521,ocds-r6ebe6-0000679535,Renfrewshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456521
172,17-08-2022,Supplier Engagement Event -Meet the Buyer 2022,AUG456520,ocds-r6ebe6-0000703683,South Lanarkshire Council,,01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456520
173,16-08-2022,Supply and Delivery of Bottled and Bulk Gases,AUG456510,ocds-r6ebe6-0000703324,Glasgow City Council,,01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456510
174,16-08-2022,Invitation to Tender for Catering Provisions,AUG456509,ocds-r6ebe6-0000702295,Orkney Islands Council,,01 Prior Information Notice (PIN),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456509
175,16-08-2022,"Dry Dock, Ship Repair and Maintenance",AUG456505,ocds-r6ebe6-0000703667,Ferguson Marine (Port Glasgow) Ltd,,01 Prior Information Notice (PIN),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456505
176,16-08-2022,Provision of Business Gateway Services in Orkney,AUG456504,ocds-r6ebe6-0000703110,Orkney Islands Council,16-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456504
177,16-08-2022,Services at NHSS Hospitals - Insourcing DPS,AUG456503,ocds-r6ebe6-0000684757,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",15-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456503
178,16-08-2022,Rural Leadership Programme,AUG456498,ocds-r6ebe6-0000696818,Scottish Enterprise,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456498
179,16-08-2022,Archive Digitisation Framework,AUG456497,ocds-r6ebe6-0000702635,Historic Environment Scotland,19-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456497
180,16-08-2022,SPS-02031 Design & Technical Services Framework Agreement,AUG456496,ocds-r6ebe6-0000688940,Scottish Prison Service,15-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456496
181,16-08-2022,PMR – Conservation Treatment: Sculpture Collection,AUG456494,ocds-r6ebe6-0000678336,Renfrewshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456494
182,16-08-2022,PMR - Conservation Treatment: Fine Art Collection,AUG456493,ocds-r6ebe6-0000656679,Renfrewshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456493
183,16-08-2022,Paisley Town Hall Re-development - Clock Carillon Restoration,AUG456491,ocds-r6ebe6-0000655486,Renfrewshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456491
184,16-08-2022,Clyde Waterfront and Renfrew Riverside (CWRR) Owner Controlled Insurance Programme (OCIP),AUG456485,ocds-r6ebe6-0000650664,Renfrewshire Council,,03 Contract Award Notice - Incomplete Procedure,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456485
185,16-08-2022,PAISLEY ARTS CENTRE – REFURBISHMENT: MAIN WORKS,AUG456472,ocds-r6ebe6-0000654515,Renfrewshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456472
186,16-08-2022,Local Bus Services 22/23 - 502 Castle Douglas to Dumfries,AUG456461,ocds-r6ebe6-0000703603,Dumfries and Galloway Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456461
187,16-08-2022,Local Bus Services 22/23 - 101/2 Dumfries to Edinburgh,AUG456458,ocds-r6ebe6-0000703610,Dumfries and Galloway Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456458
188,16-08-2022,Electric Vehicle Charge Points,AUG456448,ocds-r6ebe6-0000703550,Highlands and Islands Enterprise,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456448
189,16-08-2022,Newton Mearns Public Realm Access and Design Masterplan Consultancy,AUG456446,ocds-r6ebe6-0000695082,East Renfrewshire Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456446
190,16-08-2022,Civil Engineering Dynamic Purchasing System (DPS) Scotland - Up to 5M GBP,AUG456444,ocds-r6ebe6-0000700180,Scottish Government,,01 Prior Information Notice (PIN),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456444
191,16-08-2022,GC1 Custom Modifications,AUG456439,ocds-r6ebe6-0000703580,Centre for Process Innovation Limited,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456439
192,16-08-2022,Investment Management,AUG456436,ocds-r6ebe6-0000690953,Glasgow School of Art,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456436
193,16-08-2022,Fire Safety Systems Servicing and Reactive Maintenance Contract,AUG456429,ocds-r6ebe6-0000703090,Southside Housing Association Ltd,14-Sep-22,02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456429
194,16-08-2022,Funded Early Learning and Childcare in Angus,AUG456423,ocds-r6ebe6-0000672187,Angus Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456423
195,16-08-2022,NSS222327 Financial Improvement Support Award,AUG456416,ocds-r6ebe6-0000703310,"The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456416
196,16-08-2022,Award of Local Office Technician Role,AUG456415,ocds-r6ebe6-0000703546,Scottish Parliamentary Corporate Body,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456415
197,16-08-2022,Award of Provision of Fishing Wire,AUG456411,ocds-r6ebe6-0000696773,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456411
198,16-08-2022,Radiofrequency Coils for MRI Scanner,AUG456409,ocds-r6ebe6-0000687754,University of Aberdeen,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456409
199,16-08-2022,Award of Impressed Current Antifouling (ICAF) Anodes Renewal including ICAF & Impressed Current C...,AUG456407,ocds-r6ebe6-0000698579,Scottish Government,,Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456407
200,16-08-2022,"21CSH002 Annanbank, Stranraer - En-Suite Facilities",AUG456401,ocds-r6ebe6-0000703518,Dumfries and Galloway Council,09-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456401
201,16-08-2022,Replacement of Main Switchgear and Common Area Lighting – H1420,AUG456400,ocds-r6ebe6-0000698242,Aberdeen City Council,,03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456400
202,16-08-2022,Noblehill Nursery Extension works,AUG456399,ocds-r6ebe6-0000697621,Dumfries and Galloway Council,15-Aug-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456399
203,15-08-2022,Gritters Hire,AUG456395,ocds-r6ebe6-0000690387,Dumfries and Galloway Council,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456395
204,15-08-2022,INVITATION TO TENDER FOR OFFSHORE RECERTIFICATION TRAINING,AUG456394,ocds-r6ebe6-0000670774,Energy Transition Zone Limited,,03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456394
205,15-08-2022,C001986 Scoping Review for Endoscopy Programme,AUG456392,ocds-r6ebe6-0000703454,NHS Education for Scotland,05-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456392
206,15-08-2022,Mechanical & Electrical Works,AUG456391,ocds-r6ebe6-0000703453,Energy Transition Zone Limited,23-Sep-22,02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456391
