,0,1,2,3,4,5,6,7,url
143,17-08-2022,M & E works Tulliallan Primary School PR5553657,,Reference No:AUG456587,OCID:ocds-r6ebe6-0000703762,Published By:Fife Council,Deadline Date:30-Aug-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456587
144,17-08-2022,Festive Lighting,,Reference No:AUG456586,OCID:ocds-r6ebe6-0000688560,Published By:Renfrewshire Council,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456586
145,17-08-2022,"Analysis of consultation ‘Restricting promotions on food and drink high in fat, sugar or salt’",,Reference No:AUG456583,OCID:ocds-r6ebe6-0000703761,Published By:Scottish Government,Deadline Date:07-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456583
146,17-08-2022,Kings Buildings CHP Panel,,Reference No:AUG456582,OCID:ocds-r6ebe6-0000701344,Published By:University Of Edinburgh,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456582
147,17-08-2022,Kitchen Upgrade Contract,,Reference No:AUG456580,OCID:ocds-r6ebe6-0000696719,Published By:Abertay Housing Association Ltd,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456580
148,17-08-2022,Award of Provision of Glass Recycling 2021 - HC/C&P/GR-CMGLACP/2021,,Reference No:AUG456578,OCID:ocds-r6ebe6-0000687544,Published By:The Highland Council,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456578
149,17-08-2022,Fabrication & Blacksmith Maintenance Framework,,Reference No:AUG456576,OCID:ocds-r6ebe6-0000703737,Published By:Aberdeenshire Council,Deadline Date:26-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456576
150,17-08-2022,Maritime Museum Lift Replacement (8268),,Reference No:AUG456573,OCID:ocds-r6ebe6-0000703525,Published By:Aberdeen City Council,Deadline Date:16-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456573
151,17-08-2022,18/0756 Supply and Installation of Timber Windows,,Reference No:AUG456572,OCID:ocds-r6ebe6-0000703732,Published By:Moray Council,Deadline Date:,Notice Type:01 Prior Information Notice (PIN),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456572
152,17-08-2022,Award of EDC/2022/3480- Barrachan Cottages Site Feasibility Study,,Reference No:AUG456567,OCID:ocds-r6ebe6-0000699513,Published By:East Dunbartonshire Council,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456567
153,17-08-2022,PIN Talking Tenders - Fabrication & Blacksmith Waste Maintenance Framework,,Reference No:AUG456566,OCID:ocds-r6ebe6-0000703734,Published By:Aberdeenshire Council,Deadline Date:,Notice Type:01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456566
154,17-08-2022,PMR – Conservation Treatment: Frames,,Reference No:AUG456561,OCID:ocds-r6ebe6-0000703208,Published By:Renfrewshire Council,Deadline Date:07-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456561
155,17-08-2022,IP Dome and IP Low Light Cameras,,Reference No:AUG456555,OCID:ocds-r6ebe6-0000701426,Published By:Scottish Police Authority,Deadline Date:19-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456555
156,17-08-2022,Electric Vehicle Charging Infrastructure,,Reference No:AUG456547,OCID:ocds-r6ebe6-0000650723,Published By:Scotland Excel,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456547
157,17-08-2022,Supply and Distribution of Frozen Foods,,Reference No:AUG456545,OCID:ocds-r6ebe6-0000703681,Published By:The City of Edinburgh Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456545
158,17-08-2022,Plumbing Consumables and Commercial Heating Products,,Reference No:AUG456542,OCID:ocds-r6ebe6-0000703533,Published By:APUC Limited,Deadline Date:,Notice Type:20 Modification Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456542
159,17-08-2022,Plumbing Consumables and Commercial Heating Products,,Reference No:AUG456539,OCID:ocds-r6ebe6-0000703547,Published By:APUC Limited,Deadline Date:,Notice Type:20 Modification Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456539
160,17-08-2022,Cleaning Equipment for FM,,Reference No:AUG456538,OCID:ocds-r6ebe6-0000702995,Published By:Stirling Council,Deadline Date:30-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456538
161,17-08-2022,Award of Senior Content Designer,,Reference No:AUG456536,OCID:ocds-r6ebe6-0000702232,Published By:Scottish Government,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456536
162,17-08-2022,Award of Commercial Manager,,Reference No:AUG456535,OCID:ocds-r6ebe6-0000700759,Published By:Scottish Government,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456535
163,17-08-2022,Planned Preventative Maintenance of Air Conditioning,,Reference No:AUG456533,OCID:ocds-r6ebe6-0000703694,Published By:Dumfries and Galloway Council,Deadline Date:16-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456533
164,17-08-2022,HEALTH AND SAFETY TRAINING SERVICES - University of Aberdeen,,Reference No:AUG456531,OCID:ocds-r6ebe6-0000692669,Published By:University of Aberdeen,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456531
165,17-08-2022,Content Management System - University of Aberdeen,,Reference No:AUG456527,OCID:ocds-r6ebe6-0000693393,Published By:University of Aberdeen,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456527
166,17-08-2022,Site Supervision Services for the design and construction works contract for CWRR Project,,Reference No:AUG456526,OCID:ocds-r6ebe6-0000641711,Published By:Renfrewshire Council,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456526
167,17-08-2022,Maintenance of Commercial and Domestic Fire Suppression Systems,,Reference No:AUG456525,OCID:ocds-r6ebe6-0000703609,Published By:South Lanarkshire Council,Deadline Date:15-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456525
168,17-08-2022,Patient Transport Service,,Reference No:AUG456524,OCID:ocds-r6ebe6-0000688566,Published By:Scottish Ambulance Service,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456524
169,17-08-2022,Award of Project Support,,Reference No:AUG456523,OCID:ocds-r6ebe6-0000703555,Published By:Scottish Parliamentary Corporate Body,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456523
170,17-08-2022,Digital Identity Scotland External ID Vendor,,Reference No:AUG456522,OCID:ocds-r6ebe6-0000702965,Published By:Scottish Government,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456522
171,17-08-2022,Public Realm Works – High Street and Weighhouse Close,,Reference No:AUG456521,OCID:ocds-r6ebe6-0000679535,Published By:Renfrewshire Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456521
172,17-08-2022,Supplier Engagement Event -Meet the Buyer 2022,,Reference No:AUG456520,OCID:ocds-r6ebe6-0000703683,Published By:South Lanarkshire Council,Deadline Date:,Notice Type:01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456520
173,16-08-2022,Supply and Delivery of Bottled and Bulk Gases,,Reference No:AUG456510,OCID:ocds-r6ebe6-0000703324,Published By:Glasgow City Council,Deadline Date:,Notice Type:01 Prior Information Notices (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456510
174,16-08-2022,Invitation to Tender for Catering Provisions,,Reference No:AUG456509,OCID:ocds-r6ebe6-0000702295,Published By:Orkney Islands Council,Deadline Date:,Notice Type:01 Prior Information Notice (PIN),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456509
175,16-08-2022,"Dry Dock, Ship Repair and Maintenance",,Reference No:AUG456505,OCID:ocds-r6ebe6-0000703667,Published By:Ferguson Marine (Port Glasgow) Ltd,Deadline Date:,Notice Type:01 Prior Information Notice (PIN),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456505
176,16-08-2022,Provision of Business Gateway Services in Orkney,,Reference No:AUG456504,OCID:ocds-r6ebe6-0000703110,Published By:Orkney Islands Council,Deadline Date:16-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456504
177,16-08-2022,Services at NHSS Hospitals - Insourcing DPS,,Reference No:AUG456503,OCID:ocds-r6ebe6-0000684757,"Published By:The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",Deadline Date:15-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456503
178,16-08-2022,Rural Leadership Programme,,Reference No:AUG456498,OCID:ocds-r6ebe6-0000696818,Published By:Scottish Enterprise,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456498
179,16-08-2022,Archive Digitisation Framework,,Reference No:AUG456497,OCID:ocds-r6ebe6-0000702635,Published By:Historic Environment Scotland,Deadline Date:19-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456497
180,16-08-2022,SPS-02031 Design & Technical Services Framework Agreement,,Reference No:AUG456496,OCID:ocds-r6ebe6-0000688940,Published By:Scottish Prison Service,Deadline Date:15-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456496
181,16-08-2022,PMR – Conservation Treatment: Sculpture Collection,,Reference No:AUG456494,OCID:ocds-r6ebe6-0000678336,Published By:Renfrewshire Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456494
182,16-08-2022,PMR - Conservation Treatment: Fine Art Collection,,Reference No:AUG456493,OCID:ocds-r6ebe6-0000656679,Published By:Renfrewshire Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456493
183,16-08-2022,Paisley Town Hall Re-development - Clock Carillon Restoration,,Reference No:AUG456491,OCID:ocds-r6ebe6-0000655486,Published By:Renfrewshire Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456491
184,16-08-2022,Clyde Waterfront and Renfrew Riverside (CWRR) Owner Controlled Insurance Programme (OCIP),,Reference No:AUG456485,OCID:ocds-r6ebe6-0000650664,Published By:Renfrewshire Council,Deadline Date:,Notice Type:03 Contract Award Notice - Incomplete Procedure,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456485
185,16-08-2022,PAISLEY ARTS CENTRE – REFURBISHMENT: MAIN WORKS,,Reference No:AUG456472,OCID:ocds-r6ebe6-0000654515,Published By:Renfrewshire Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456472
186,16-08-2022,Local Bus Services 22/23 - 502 Castle Douglas to Dumfries,,Reference No:AUG456461,OCID:ocds-r6ebe6-0000703603,Published By:Dumfries and Galloway Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456461
187,16-08-2022,Local Bus Services 22/23 - 101/2 Dumfries to Edinburgh,,Reference No:AUG456458,OCID:ocds-r6ebe6-0000703610,Published By:Dumfries and Galloway Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456458
188,16-08-2022,Electric Vehicle Charge Points,,Reference No:AUG456448,OCID:ocds-r6ebe6-0000703550,Published By:Highlands and Islands Enterprise,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456448
189,16-08-2022,Newton Mearns Public Realm Access and Design Masterplan Consultancy,,Reference No:AUG456446,OCID:ocds-r6ebe6-0000695082,Published By:East Renfrewshire Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456446
190,16-08-2022,Civil Engineering Dynamic Purchasing System (DPS) Scotland - Up to 5M GBP,,Reference No:AUG456444,OCID:ocds-r6ebe6-0000700180,Published By:Scottish Government,Deadline Date:,Notice Type:01 Prior Information Notice (PIN),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456444
191,16-08-2022,GC1 Custom Modifications,,Reference No:AUG456439,OCID:ocds-r6ebe6-0000703580,Published By:Centre for Process Innovation Limited,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456439
192,16-08-2022,Investment Management,,Reference No:AUG456436,OCID:ocds-r6ebe6-0000690953,Published By:Glasgow School of Art,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456436
193,16-08-2022,Fire Safety Systems Servicing and Reactive Maintenance Contract,,Reference No:AUG456429,OCID:ocds-r6ebe6-0000703090,Published By:Southside Housing Association Ltd,Deadline Date:14-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456429
194,16-08-2022,Funded Early Learning and Childcare in Angus,,Reference No:AUG456423,OCID:ocds-r6ebe6-0000672187,Published By:Angus Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456423
195,16-08-2022,NSS222327 Financial Improvement Support Award,,Reference No:AUG456416,OCID:ocds-r6ebe6-0000703310,"Published By:The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456416
196,16-08-2022,Award of Local Office Technician Role,,Reference No:AUG456415,OCID:ocds-r6ebe6-0000703546,Published By:Scottish Parliamentary Corporate Body,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456415
197,16-08-2022,Award of Provision of Fishing Wire,,Reference No:AUG456411,OCID:ocds-r6ebe6-0000696773,Published By:Scottish Government,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456411
198,16-08-2022,Radiofrequency Coils for MRI Scanner,,Reference No:AUG456409,OCID:ocds-r6ebe6-0000687754,Published By:University of Aberdeen,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456409
199,16-08-2022,Award of Impressed Current Antifouling (ICAF) Anodes Renewal including ICAF & Impressed Current C...,,Reference No:AUG456407,OCID:ocds-r6ebe6-0000698579,Published By:Scottish Government,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456407
200,16-08-2022,"21CSH002 Annanbank, Stranraer - En-Suite Facilities",,Reference No:AUG456401,OCID:ocds-r6ebe6-0000703518,Published By:Dumfries and Galloway Council,Deadline Date:09-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456401
201,16-08-2022,Replacement of Main Switchgear and Common Area Lighting – H1420,,Reference No:AUG456400,OCID:ocds-r6ebe6-0000698242,Published By:Aberdeen City Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456400
202,16-08-2022,Noblehill Nursery Extension works,,Reference No:AUG456399,OCID:ocds-r6ebe6-0000697621,Published By:Dumfries and Galloway Council,Deadline Date:15-Aug-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456399
203,15-08-2022,Gritters Hire,,Reference No:AUG456395,OCID:ocds-r6ebe6-0000690387,Published By:Dumfries and Galloway Council,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456395
204,15-08-2022,INVITATION TO TENDER FOR OFFSHORE RECERTIFICATION TRAINING,,Reference No:AUG456394,OCID:ocds-r6ebe6-0000670774,Published By:Energy Transition Zone Limited,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456394
205,15-08-2022,C001986 Scoping Review for Endoscopy Programme,,Reference No:AUG456392,OCID:ocds-r6ebe6-0000703454,Published By:NHS Education for Scotland,Deadline Date:05-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456392
206,15-08-2022,Mechanical & Electrical Works,,Reference No:AUG456391,OCID:ocds-r6ebe6-0000703453,Published By:Energy Transition Zone Limited,Deadline Date:23-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456391
207,15-08-2022,DGLW/22/06 Provision of Primary Medical Services at Lochree Practice Stranraer,,Reference No:AUG456387,OCID:ocds-r6ebe6-0000703478,Published By:Dumfries and Galloway Health Board,Deadline Date:14-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456387
208,15-08-2022,Urinary Catheters & Drainage Bags,,Reference No:AUG456386,OCID:ocds-r6ebe6-0000702077,"Published By:The Common Services Agency (more commonly known as NHS National Services Scotland) (""NSS"")",Deadline Date:,Notice Type:15 Voluntary ex ante Transparency (VEAT) Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456386
209,15-08-2022,"Fixed Electrical Installations - Inspection, Testing, Condition Reporting & Repairs",,Reference No:AUG456384,OCID:ocds-r6ebe6-0000688018,Published By:The Highland Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456384
210,15-08-2022,Intelligent Client/Business Analyst Award,,Reference No:AUG456380,OCID:ocds-r6ebe6-0000703485,Published By:Scottish Government,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456380
211,15-08-2022,Award of Water purification system - MS-P-0168,,Reference No:AUG456377,OCID:ocds-r6ebe6-0000692682,Published By:Scottish Government,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456377
212,15-08-2022,Award of Provision of service contract for MiSeq next generation sequencer - MS-P-0162,,Reference No:AUG456372,OCID:ocds-r6ebe6-0000687140,Published By:Scottish Government,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456372
213,15-08-2022,Principle AWS Architect award,,Reference No:AUG456368,OCID:ocds-r6ebe6-0000703480,Published By:Scottish Government,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456368
214,15-08-2022,Award of PKC12039 Taxi/PHV Contract DAD/005,,Reference No:AUG456366,OCID:ocds-r6ebe6-0000702512,Published By:Perth & Kinross Council,Deadline Date:,Notice Type:Quick Quote Award,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456366
215,15-08-2022,DGLW/22/05 Provision of Primary Medical Services at Lochnaw Practice Stranraer,,Reference No:AUG456363,OCID:ocds-r6ebe6-0000703463,Published By:Dumfries and Galloway Health Board,Deadline Date:14-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456363
216,15-08-2022,Lift Replacement Works at 74-80 Spring Garden (8275),,Reference No:AUG456361,OCID:ocds-r6ebe6-0000703466,Published By:Aberdeen City Council,Deadline Date:09-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456361
217,15-08-2022,PR Services in North America,,Reference No:AUG456357,OCID:ocds-r6ebe6-0000703319,Published By:VisitScotland,Deadline Date:19-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456357
218,15-08-2022,CT1043 Winter Fesitvals,,Reference No:AUG456351,OCID:ocds-r6ebe6-0000685457,Published By:The City of Edinburgh Council,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456351
219,15-08-2022,Mechanical Biological Treatment (MBT) Outputs,,Reference No:AUG456350,OCID:ocds-r6ebe6-0000702339,Published By:Dumfries and Galloway Council,Deadline Date:14-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456350
220,15-08-2022,Lothian Health Board - Contact Lens Optometry Partnership,,Reference No:AUG456343,OCID:ocds-r6ebe6-0000702596,Published By:NHS Lothian,Deadline Date:15-Sep-22,Notice Type:02 Contract Notice,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456343
221,15-08-2022,CT0913 Interpretation and Communication Support in British Sign Language (BSL),,Reference No:AUG456342,OCID:ocds-r6ebe6-0000703299,Published By:The City of Edinburgh Council,Deadline Date:20-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456342
222,15-08-2022,Delivery of the Quality Meat Scotland (QMS) Impact Review,,Reference No:AUG456337,OCID:ocds-r6ebe6-0000703002,Published By:Quality Meat Scotland,Deadline Date:02-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456337
223,15-08-2022,HR Information and Payroll System,,Reference No:AUG456335,OCID:ocds-r6ebe6-0000703408,Published By:Scottish Parliamentary Corporate Body,Deadline Date:,Notice Type:01 Prior Information Notice (PIN),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456335
224,15-08-2022,8159 - Proposed Toilet Refurbishment Works at Kingsford Primary School,,Reference No:AUG456333,OCID:ocds-r6ebe6-0000698951,Published By:Aberdeen City Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456333
225,15-08-2022,Data Management Solution,,Reference No:AUG456330,OCID:ocds-r6ebe6-0000703426,Published By:The Scottish Sports Council trading as sportscotland,Deadline Date:01-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456330
226,15-08-2022,"Window Replacements to Blocks 2, 3 & No7 Wilson Court, Edinburgh, EH8 8DD",,Reference No:AUG456328,OCID:ocds-r6ebe6-0000703307,Published By:Hillcrest,Deadline Date:30-Sep-22,Notice Type:02 Contract Notice (below OJEU threshold or call offs of any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456328
227,15-08-2022,Parliamentary Monitoring and Associated Services,,Reference No:AUG456327,OCID:ocds-r6ebe6-0000688457,Published By:Scottish Environment Protection Agency,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456327
228,15-08-2022,Provision of Agresso System Support Services,,Reference No:AUG456325,OCID:ocds-r6ebe6-0000687831,Published By:Scottish Environment Protection Agency,Deadline Date:,Notice Type:03 Contract Award Notice - Successful Supplier(s),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456325
229,15-08-2022,Provision of Road Markings and Reflective Road Studs,,Reference No:AUG456324,OCID:ocds-r6ebe6-0000698485,Published By:Shetland Islands Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456324
230,15-08-2022,Framework for Provision of Drainage Works,,Reference No:AUG456320,OCID:ocds-r6ebe6-0000674071,Published By:Midlothian Council,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456320
231,15-08-2022,Framework for a Mini Batch Direct Compression Technical & Business Development Consultant,,Reference No:AUG456319,OCID:ocds-r6ebe6-0000701423,Published By:Centre for Process Innovation Limited,Deadline Date:,Notice Type:03 Contract Award Notice (below OJEU threshold) or call off from a framework (any value),https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG456319
